system,name,distance,coordinates,stellar_class
47 Ursae Majoris (Chalawan),47 Ursae Majoris (Chalawan),45.9  0.4,,G1V
26 Draconis,26 Draconis A,45.9  0.3,,F9V
26 Draconis,26 Draconis B,,,K3V
26 Draconis,26 Draconis C,,,M1V
Gliese 42,Gliese 42,45.9  0.5,,K3V
Gliese 400,Gliese 400,46.0  1.6,,MV
WISE 0819-0335,WISE 0819-0335,46,,T4
WISE 2209-2734,WISE 2209-2734,46,,T7
WISE 22377228,WISE 22377228,46,,T6
WISE 23441034,WISE 23441034,46,,T9
Gliese 726,Gliese 726,46.1  0.8,,K5V
Gliese 529,Gliese 529,46.3  0.7,,K5.5V
Gliese 282,Gliese 282 A,46.3  0.6,,K2V
Gliese 282,Gliese 282 B,,,K7V
Gliese 282,Gliese 282 C,,,M1.5Ve
Gliese 2130,Gliese 2130 A,46.31  0.99,,M1.5
Gliese 2130,Gliese 2130 B,,,M2.5
HR 7578,HR 7578,46.6,,K3V
Pi Ursae Majoris,Pi Ursae Majoris,46.6  0.5,,G1.5Vb
Gliese 481,Gliese 481,46.6  0.7,,K4V
WISE 04586434,WISE 04586434 A,46.6 17.49.9,,T8.5
WISE 04586434,WISE 04586434 B,,,T9.5
WISE 18282650,WISE 18282650,46.6 11.67.8,,Y2
Alpha Ophiuchi (Rasalhague),Alpha Ophiuchi (Rasalhague) A,46.7  0.6,,A5IVnn
Alpha Ophiuchi (Rasalhague),Alpha Ophiuchi (Rasalhague) B,,,K6V
Eta Cephei (Al Kidr),Eta Cephei (Al Kidr),46.8  0.3,,K0IV
Gliese 613,Gliese 613,46.8  0.6,,KV
Gliese 611,Gliese 611 A,46.9  0.4,,G8V
Gliese 611,Gliese 611 B,,,M4V
72 Herculis,72 Herculis,46.9  0.4,,G0V
HD 150689,HD 150689,46.9  0.7,,K2V
TYC 3135 52 1,TYC 3135 52 1,46.95,,M3V
Gliese 546,Gliese 546,47.0  0.7,,KV
HIP 79431,HIP 79431,47.0 2.22.0,,M3V
WISE 0223-2932,WISE 0223-2932,47,,T7.5
WISE 0500-1223,WISE 0500-1223,47,,T8
WISE 18122721,WISE 18122721,47,,T8.5
WISE 0535-7500,WISE 0535-7500,47,,Y1
CM Draconis,CM Draconis,47.1  1.8,,M4.5V
VHS J125804.89-441232.4,VHS J125804.89-441232.4,47.1  5.9,,T6
WISE 07445628,WISE 07445628,47.3,,T8
WISE 1309-1600,WISE 1309-1600,47.3,,T
Theta Botis (Asellus Primus),Theta Botis (Asellus Primus) A,47.5  0.4,,F7V
Theta Botis (Asellus Primus),Theta Botis (Asellus Primus) B,,,M2.5V
Gliese 1214 (Orkaria),Gliese 1214 (Orkaria),47.5  0.4,,M1V
Nu Lupi,Nu Lupi,47.5  0.5,,G2V
HIP 79431 (Sharjah),HIP 79431 (Sharjah),47.54  0.02,,M3V
WISE 00400900,WISE 00400900,47.6,,T7
WISE 1018-2445,WISE 1018-2445,47.6,,T8
Iota Ursae Majoris (Talitha),Iota Ursae Majoris (Talitha),47.7  0.6,,A7IV
Gliese 259,Gliese 259,47.7  0.5,,K1V
111 Tauri,111 Tauri A,47.8  0.7,,F8V
111 Tauri,111 Tauri B,,,K5V
HD 196761,HD 196761,47.8  0.6,,G8V
OU Geminorum,OU Geminorum,47.8  0.8,,K3V
Gliese 604,Gliese 604,47.8  0.7,,KV
Psi Capricorni (Yue),Psi Capricorni (Yue),47.9  0.6,,F5V
Psi Serpentis,Psi Serpentis A,47.9  0.6,,G5V
Psi Serpentis,Psi Serpentis B,,,K2
Gliese 420,Gliese 420,47.9  0.8,,KV
WISE 2018-7423,WISE 2018-7423,47.9,,T7
CWISEP J10475457,CWISEP J10475457,48  3,,Y1
Gliese 833,Gliese 833,48.1  0.6,,KV
Alpha Corvi (Alchiba),Alpha Corvi (Alchiba) A,48.2  0.5,,F1V
Alpha Corvi (Alchiba),Alpha Corvi (Alchiba) B,,,M4V
Gliese 269,Gliese 269,48.2  0.6,,KV
BPM 37093 (V886 Centauri),BPM 37093 (V886 Centauri),48.39  0.01,,DAV4.4
LHS 3844 (Bats),LHS 3844 (Bats),48.53  0.01,,M4.5-M5
20 Leonis Minoris (Cor),20 Leonis Minoris (Cor),48.6  0.6,,G3V
WISE 0015-4615,WISE 0015-4615,48.6,,T8
WISE 2343-7418,WISE 2343-7418,48.6,,T6
HD 4391,HD 4391,48.7  0.5,,G3V
Alpha Cephei (Alderamin),Alpha Cephei (Alderamin),48.8  0.4,,A8Vn
Gliese 123,Gliese 123,48.8  1.3,,M1V
LHS 1140,LHS 1140,48.80  0.03,,M4.5V
HD 176051,HD 176051 A,48.9  0.4,,G0V
HD 176051,HD 176051 B,,,K1V
Gliese 14,Gliese 14,48.9  0.8,,M1V
Gliese 163,Gliese 163,48.9 1.41.3,,M1V
WISEP J004701.06680352.1,WISEP J004701.06680352.1,48.9  16.3,,L9pec
HD 84117,HD 84117,49.0  0.2,,F8V
HD 200779 (Gliese 818),HD 200779 (Gliese 818),49.07  0.02,,K6V
Eta Leporis,Eta Leporis,49.1  0.5,,F2V
Nu Phoenicis,Nu Phoenicis,49.1  0.5,,F9V
Gliese 52,Gliese 52,49.1  0.9,,K7V
Gliese 483,Gliese 483,49.1  0.6,,KV
Castor (Alpha Geminorum),Aa,49.15  0.03,,A1V
Castor (Alpha Geminorum),Ab,,,dM1e
Castor (Alpha Geminorum),Ba,,,Am
Castor (Alpha Geminorum),Bb,,,dM1e
Castor (Alpha Geminorum),Ca,,,dM1e
Castor (Alpha Geminorum),Cb,,,dM1e
19 Draconis,19 Draconis,49.2  0.4,,F8V
GJ 1279,GJ 1279,49.2  0.7,,KV
Gliese 141,Gliese 141,49.3  0.7,,M1V
31 Aquilae,31 Aquilae,49.4  0.6,,G8IV
AB Doradus,AB Doradus A,49.5  0.4,,K0V
AB Doradus,Ba,,,M5
AB Doradus,Bb,,,M5-6
AB Doradus,AB Doradus C,,,M8
L 489-43,L 489-43,49.50  0.81,,M4.5
171 G. Puppis,171 G. Puppis,49.6  0.4,,G0V
Gliese 40,Gliese 40,49.6  1.1,,KV
HR 5864,HR 5864,49.7  0.6,,G7IV
Mu Arae,Mu Arae,49.8  0.6,,G3V
Gliese 317,Gliese 317,49.9  0.4,,M2.5V
SCR J1826-6542,SCR J1826-6542,49.12,,MV
Delta Aquilae,Delta Aquilae A,50.1  0.6,,F0IV
Delta Aquilae,Delta Aquilae B,,,K
51 Pegasi (Helvetios),51 Pegasi (Helvetios),50.1  0.6,,G5V
HR 159,HR 159 A,50.2  0.8,,G8V
HR 159,HR 159 B,,,G8V
WISE 06143912,WISE 06143912,50.2,,T8
WISE 16171807,WISE 16171807,50.2,,T8
WISE 16273255,WISE 16273255,50.2,,T6
Gliese 156,Gliese 156,50.3  0.9,,M1V
Phi Ceti,Phi Ceti,50.4  0.8,,F7V
Sigma Botis (Hemelein Secunda),Sigma Botis (Hemelein Secunda),50.4  0.6,,F2V
Gliese 862,Gliese 862,50.4  0.8,,KV
Gliese 227,Gliese 227,50.4  0.7,,KV
99 Herculis,99 Herculis A,50.5  0.6,,F7V
99 Herculis,99 Herculis B,,,K4V
Gliese 758B,Gliese 758B,50.5  0.5,,G8V
WISE 0542-1628,WISE 0542-1628,50.6,,T6.5
WISE 1124-0421,WISE 1124-0421,50.6,,T7
WISE 20156646,WISE 20156646,50.6,,T8
Gliese 36853686,Gliese 36853686,50.7 11.88.0,,MV
HD 38858,HD 38858,50.8  0.9,,G4V
HD 135599,HD 135599,50.8  0.8,,KV
Gliese 778,Gliese 778,50.8  0.7,,KV
Mu Arae (CervantesHD 160691),Mu Arae (CervantesHD 160691),50.89  0.07,,G3IV V
Tau Botis,Tau Botis,50.9  0.6,,F6IV
Gliese 1175,Gliese 1175,50.9  0.6,,M1V
WISE 15197009,WISE 15197009,50.9,,T8
HD 207129,HD 207129,51.0  0.6,,G2V
Gliese 782,Gliese 782,51.1  1.2,,KV
Gliese 397,Gliese 397,51.1  1.0,,KV
HD 113538,HD 113538,51.2  1.1,,K9V
WISE 0325-3854,WISE 0325-3854,51.2,,T9
WISE 23420856,WISE 23420856,51.2,,T6.5
HD 139763,HD 139763,51.3  1.1,,KV
Gliese 157,Gliese 157,51.4  1.7,,M1V
WISE 06140951,WISE 06140951,51.5,,T7
WISE 07502725,WISE 07502725,51.5,,T8.5
WISE 09064735,WISE 09064735,51.5,,T8
WISE 19064508,WISE 19064508,51.5,,T6
Gliese 3929,Gliese 3929,51.54,,M3.5V
Chi Herculis,Chi Herculis,51.7  0.4,,F8Ve
104 Tauri,104 Tauri,51.8  0.8,,G4V
Gliese 777,Gliese 777 A,51.8  0.5,,G6IV
Gliese 777,Gliese 777 B,,,M4.5V
Ross 640,Ross 640,51.84  0.02,,DZA5.5
Gliese 619,Gliese 619,51.9  0.7,,KV
Gliese 112.1,Gliese 112.1,51.9  1.3,,M1V
Gliese 156.2,Gliese 156.2,52.1  0.7,,M1V
Gliese 462,Gliese 462,52.2  1.1,,KV
Gliese 3,Gliese 3,52.2  0.7,,KV
WISE 14575815,WISE 14575815,52.2,,T7
WISE 2319-1844,WISE 2319-1844,52.2,,T7.5
WISE 1622-0959,WISE 1622-0959,52.2  6.5,,T6
Gliese 3781,Gliese 3781,52.3  1.2,,G8K0V
Gliese 32,Gliese 32,52.3  1.4,,KV
Gliese 1062,Gliese 1062,52.3  2.9,,M1V
HD 179930,HD 179930,52.5  1.7,,MV
Gliese 1264,Gliese 1264,52.6  2.1,,M1V
HR 3138,HR 3138,52.8  0.4,,G0V
Gliese 472,Gliese 472,52.8  0.5,,KV
Gliese 824,Gliese 824,52.8  0.9,,KV
I Carinae,I Carinae,52.9  0.4,,F2IV
Gliese 152,Gliese 152,52.9  0.6,,M1V
Xi Pegasi,Xi Pegasi A,53.0  0.7,,F6V
Xi Pegasi,Xi Pegasi B,,,M3.5
10 Ursae Majoris,10 Ursae Majoris,53.0  0.9,,F4V
WISE 1042-3842,WISE 1042-3842,53.2,,T6.5
HR 6516,HR 6516,53.3  0.8,,G9IV-V
9 Puppis,9 Puppis,53.4  0.8,,G2V
Gliese 143,Gliese 143,53.4  1.3,,M1V
Gliese 1177,Gliese 1177,53.4  2.7,,M1V
Gliese 826.1,Gliese 826.1,53.4  1.2,,KV
HD 40887,HD 40887,53.4  0.9,,K3V
Alpha Circini (Xami),Alpha Circini (Xami),53.5  0.5,,A7 Vp SrCrE
Gliese 247,Gliese 247,53.5  1.2,,KV
BPM 37093,BPM 37093,53.5 9.77.1,,DAV4.4
WISE 2237-0614,WISE 2237-0614,53.5,,T5
BY Draconis,BY Draconis,53.6  0.6,,K6Ve
Gliese 531,Gliese 531,53.6  0.8,,KV
Gliese 676,Gliese 676 A,53.7  1.5,,M0V
Gliese 676,Gliese 676 B,,,M3V
Gliese 322,Gliese 322,53.8  1.3,,KV
WISE 0241-3653,WISE 0241-3653,53.8,,T7
Psi5 Aurigae,Psi5 Aurigae,53.9  0.6,,G0V
HD 537055370653680,HD 537055370653680,53.9  0.9,,GV
Gliese 553,Gliese 553,53.9  1.4,,KV
Gliese 1049,Gliese 1049,53.9  1.2,,M1V
HD 128311,HD 128311,54.0  0.9,,K0V
HR 5273,HR 5273,54.1  0.7,,GV
WISE 06564205,WISE 06564205,54.1,,T3
WISE 2348-1028,WISE 2348-1028,54.1,,T7
Gliese 3839,Gliese 3839,54.36  1.92,,M4.5V
WISE 18043117,WISE 18043117,54.4 12.28.4,,T9.5
WISE 0148-7202,WISE 0148-7202,54.4 19.811.4,,T9.5
Gliese 633,Gliese 633,54.47  0.98,,M2.5V
Beta Cassiopeiae (Caph),Beta Cassiopeiae (Caph),54.5  0.5,,F2III
HR 2225,HR 2225,54.5  0.7,,GV
Gliese 795,Gliese 795,54.5  2.0,,KV
39 Tauri,39 Tauri,54.6  0.8,,G5V
A 2329,A 2329,54.6  1.1,,KV
Gliese 295,Gliese 295,54.8  0.7,,G8V
Gliese 1181,Gliese 1181,54.8  2.5,,M1V
Gliese 786,Gliese 786,54.8  0.7,,KV
WISE 0333-5856,WISE 0333-5856,54.8,,T3
WISE 23571227,WISE 23571227,54.8,,T6
HD 7924,HD 7924,54.9  0.5,,K0V
HR 2721,HR 2721,55.0  0.6,,G0V
Gliese 895.4,Gliese 895.4,55.0  0.6,,KV
Gliese 200,Gliese 200,55.0  1.6,,KV
HD 152391,HD 152391,55.2  0.8,,GV
Gliese 886,Gliese 886,55.2  3.4,,KV
Gliese 565,Gliese 565,55.3  1,,KV
WISE 0366-0143,WISE 0366-0143,55.4,,T
WISE 1225-1013,WISE 1225-1013,55.4,,T6
WISE 1612-3420,WISE 1612-3420,55.4,,T6.5
WISE 18523537,WISE 18523537,55.4,,T7
HD 7924,HD 7924,55.45  0.02,,K0.5V
HR 2997,HR 2997,55.6  0.5,,GV
Gliese 728,Gliese 728,55.7  1.5,,KV
HD 76151,HD 76151,55.8  0.8,,G3V
HR 7232,HR 7232,56.0  0.9,,GV
HR 4864,HR 4864,56.0  1,,GV
WISE 0245-3450,WISE 0245-3450,56.1,,T8
WISE 13206034,WISE 13206034,56.1,,T6.5
Iota Horologii,Iota Horologii,56.2  0.5,,G0Vp
Gliese 3076,Gliese 3076,56.23  6.28,,M5.93
37 Geminorum,37 Geminorum,56.3  0.9,,G0V
HD 3765,HD 3765,56.3  1,,KV
Gliese 3476,Gliese 3476,56.4  0.6,,KV
HIP 92444,HIP 92444,56.4  1.9,,KV
Gliese 3222,Gliese 3222,56.4  0.7,,KV
ADS 9544,ADS 9544,56.4  0.8,,KV
Gliese 727,Gliese 727,56.4  1,,KV
Tau Hydrae,Tau Hydrae,56.5  2.2,,F6V
Gliese 3833,Gliese 3833,56.5  1,,KV
DENIS-P J1058.7-1548,DENIS-P J1058.7-1548,56.5  1,,L3
q Eridani,q Eridani,56.6  0.6,,F9V
HR 6748,HR 6748,56.6  0.8,,GV
HD 184467,HD 184467,56.6  0.6,,KV
Gliese 913,Gliese 913,56.6  2.9,,MV
Xi Ophiuchi,Xi Ophiuchi,56.7  0.9,,F2V
10 Canum Venaticorum,10 Canum Venaticorum,56.7  0.6,,G0V
BD 68 278,BD 68 278,56.7  2.8,,KV
Rho Coronae Borealis,Rho Coronae Borealis,56.8  0.7,,G0V
Chi Eridani,Chi Eridani,57.0  0.6,,G8IV
39 Serpentis,39 Serpentis,57.0  0.9,,GV
Gliese 293.1,Gliese 293.1,57.0  1.5,,KV
Gliese 397.1,Gliese 397.1,57.0  1.4,,MV
g Lupi,g Lupi,57.1  0.7,,F5V
Gliese 649.1,Gliese 649.1,57.1  0.7,,KV
WISE 02473725,WISE 02473725,57.1,,T8
G 29-38 (ZZ Piscium),G 29-38 (ZZ Piscium),57.16  0.03,,DAV4.4
Xi Geminorum (Alzirr),Xi Geminorum (Alzirr),57.2  0.8,,F5IV
58 Ophiuchi,58 Ophiuchi,57.2  0.8,,F5V
Gliese 241,Gliese 241,57.2  1.4,,KV
Gliese 3633,Gliese 3633,57.2  1,,KV
VVV BD001,VVV BD001,57.2 4.33.8,,L5
59 Virginis,59 Virginis,57.3  0.3,,G0V
HR 7783,HR 7783,57.3  0.5,,GV
HR 5384,HR 5384,57.4  1.1,,GV
HD 113194,HD 113194,57.4  1.1,,KV
Gliese 562,Gliese 562,57.4  1.3,,KV
WISE 0528-3308,WISE 0528-3308,57.4,,T7 pec
HD 1237,HD 1237,57.5  0.5,,G6V
Gliese 1066,Gliese 1066,57.5  0.9,,M1V
15 Sagittae,15 Sagittae A,57.6  0.6,,G0V
15 Sagittae,15 Sagittae B,,,L4
83 Leonis,83 Leonis A,57.6  1.5,,K0IV
83 Leonis,83 Leonis B,,,K2V
Gliese 819,Gliese 819,57.6  1.2,,KV
Delta Leonis (Zosma),Delta Leonis (Zosma),57.7  0.9,,A4V
Gliese 340,Gliese 340,57.7  1.1,,KV
WISE 0138-0322,WISE 0138-0322,57.7,,T2
WISE 0611-0410,WISE 0611-0410,57.7,,T0
WISE 11222550,WISE 11222550,57.7,,T6
HR 7644,HR 7644,57.8  0.8,,GV
Gliese 626,Gliese 626,57.8  1.4,,KV
Iota Pavonis,Iota Pavonis,57.9  0.7,,GV
HD 35650,HD 35650,57.9  1,,KV
HD 82443,HD 82443,57.9  0.9,,KV
HR 5356,HR 5356,58.0  1,,FV
HR 4525,HR 4525,58.0  0.8,,GV
Gliese 365,Gliese 365,58.0  1.2,,KV
HR 2401,HR 2401,58.2  0.6,,FV
V833 Tauri,V833 Tauri,58.2  1.3,,KV
Alpha Comae Berenices (Diadem),Alpha Comae Berenices (Diadem) A,58.3  1.5,,F5V
Alpha Comae Berenices (Diadem),Alpha Comae Berenices (Diadem) B,,,F5V
Eta Coronae Borealis,Eta Coronae Borealis A,58.3  0.8,,G1V
Eta Coronae Borealis,Eta Coronae Borealis B,,,G3V
Eta Coronae Borealis,Eta Coronae Borealis C,,,L8
Gamma Coronae Australis,Gamma Coronae Australis A,58.4  2.1,,F8V
Gamma Coronae Australis,Gamma Coronae Australis B,,,F8V
WISE 02062640,WISE 02062640,58.4,,L9 pec
Tau6 Eridani,Tau6 Eridani,58.5  0.7,,F5V
HD 130948,HD 130948,58.5  0.9,,G1V
Gliese 1079,Gliese 1079,58.5  0.8,,M1V
Gliese 787,Gliese 787,58.5  1.4,,KV
Gliese 418,Gliese 418,58.5  1.4,,KV
Iota Centauri (AlhakimKulou),Iota Centauri (AlhakimKulou),58.6  0.8,,A2V
Gliese 2037,Gliese 2037,58.6  1,,KV
Gliese 3317,Gliese 3317,58.7  0.8,,KV
Gliese 18,Gliese 18,58.7  1.2,,M1V
WISE 22130911,WISE 22130911,58.7,,T7
DG Canum Venaticorum,DG Canum Venaticorum,58.76  2.32,,M4Ve
HR 4989,HR 4989,58.8  0.7,,FIV
212 Puppis,212 Puppis A,58.8  0.6,,F5V
212 Puppis,212 Puppis B,,,K3V
Delta Geminorum (Wasat),Delta Geminorum (Wasat),58.8  0.9,,F0IV
Gliese 1240,Gliese 1240,58.8  1,,M1V
Rho Geminorum,Rho Geminorum A,58.9  0.3,,F1V
Rho Geminorum,Rho Geminorum B,,,M5
Rho Geminorum,Rho Geminorum C,,,K2.5V
HD 154345,HD 154345,58.9  0.6,,G8V
HR 3220 (B Carinae),HR 3220 (B Carinae) A,58.9  0.6,,F6 V Fe-0.8 CH-0.4
HR 3220 (B Carinae),HR 3220 (B Carinae) B,,,D
Gliese 830,Gliese 830,58.9  1.5,,KV
HD 87883,HD 87883,58.9  1,,K0V
Gliese 3293,Gliese 3293,59,,M2.5V
HD 154088,HD 154088,59.0  0.9,,K0V
70 Virginis,70 Virginis,59.1  0.8,,G2.5Va
HR 2208,HR 2208,59.1  1,,GV
Chi Cancri,Chi Cancri,59.2  1,,F6V
14 Herculis,14 Herculis,59.2  0.6,,K0V
Gliese 4008,Gliese 4008,59.3  0.9,,KV
Eta Corvi,Eta Corvi,59.4  0.7,,F2V
Pi Mensae,Pi Mensae,59.4  0.5,,G1IV
HIP 38939,HIP 38939,59.4  1.3,,KV
Epsilon Reticuli,Epsilon Reticuli A,59.5  0.5,,K2IV
Epsilon Reticuli,Epsilon Reticuli B,,,D
Beta Arietis (Sheratan),Beta Arietis (Sheratan),59.6  0.8,,A5V
Psi Velorum,Psi Velorum A,59.7  1,,F3IV
Psi Velorum,Psi Velorum B,,,F0V
Gliese 1106,Gliese 1106,59.7 5.14.4,,M1V
WISE 22391617,WISE 22391617,59.7,,T3
Gliese 1120,Gliese 1120,59.8 3.73.3,,M1V
Gliese 3488,Gliese 3488,59.8  1.4,,KV
LQ Hydrae,LQ Hydrae,59.8  1.1,,KV
Gliese 131,Gliese 131,59.9  1.5,,M1V
HR 8314,HR 8314,60.0  0.9,,GV
WISE 1436-1814,WISE 1436-1814,60,,T8 pec
Delta Equulei,Delta Equulei A,60.0  1.0,,F5V
Delta Equulei,Delta Equulei B,,,G0
HD 53143,HD 53143,60.0  0.6,,K9V
15 Leonis Minoris,15 Leonis Minoris,60.1  0.8,,G0V
Gliese 339,Gliese 339,60.1  1.3,,KV
Gliese 161,Gliese 161,60.2  0.9,,M1V
Gliese 2102,Gliese 2102,60.2  1.2,,KV
Gliese 4134,Gliese 4134,60.4 9.06.9,,KV
Gliese 315,Gliese 315,60.4  1.2,,KV
Gliese 509,Gliese 509,60.4  2.5,,KV
HD 156985,HD 156985,60.4  0.8,,KV
G 185-32,G 185-32,60.4 3.53.2,,DA4.0
Gliese 610,Gliese 610,60.5  1.5,,KV
Gliese 106,Gliese 106,60.5  2.8,,M1V
HR 244,HR 244,60.6  0.7,,F9V
Theta Cygni,Theta Cygni A,60.7  0.5,,F3V
Theta Cygni,Theta Cygni B,,,M3V
Gliese 499,Gliese 499,60.7  2.2,,KV
WISE 23010216,WISE 23010216,60.7,,T6.5
Gliese 254,Gliese 254,60.8  2.0,,KV
Theta Centauri (Menkent),Theta Centauri (Menkent),60.9  0.9,,K0III
Mu Virginis,Mu Virginis,60.9  1.1,,F2IV
HD 152606,HD 152606,60.9  1.0,,KV
Gliese 902.1,Gliese 902.1,60.9  1.3,,KV
Kelu-1,Kelu-1 A,60.9  2.3,,L2
Kelu-1,Kelu-1 B,,,L4
Gliese 1094,Gliese 1094,61.0  2.3,,M1V
HR 8061,HR 8061,61.1  2.6,,FV
Tau Piscis Austrini,Tau Piscis Austrini,61.1  1.0,,F6V
HR 8148,HR 8148,61.1  1.3,,GV
HD 206804,HD 206804,61.1  1.9,,KV
Gliese 715,Gliese 715,61.2  1.2,,KV
WISE 01503827,WISE 01503827,61.3,,T0
HD 4747,HD 4747,61.4  1.2,,G8V
Gliese 249,Gliese 249,61.4  1.4,,KV
Gliese 296,Gliese 296,61.5  9.7,,KV
HD 170573,HD 170573,61.5  9.7,,KV
Gliese 1054,Gliese 1054,61.55  0.85,,M1V
6 Ceti,6 Ceti,61.6  0.9,,F8V
HR 7683,HR 7683,61.6  0.6,,GIV
Gliese 583,Gliese 583,61.6  1.8,,KV
Gliese 4287,Gliese 4287,61.6  2.3,,KV
Gliese 773,Gliese 773,61.6  1.8,,KV
WISE 21572659,WISE 21572659,61.6,,T7
Gliese 100,Gliese 100,61.7  2.3,,M1V
Eta Serpentis (Tang),Eta Serpentis (Tang),61.8  0.9,,K0IV
Gliese 689,Gliese 689,62.0  0.9,,KV
WISE 17113500,WISE 17113500,62.0  9.8,,T8
HD 139477,HD 139477,62.2  0.9,,KV
110 Herculis,110 Herculis,62.3  0.8,,F6V
HR 2643,HR 2643,62.3  1.0,,GV
WISE 17211117,WISE 17211117,62.3,,T6
HR 3625,HR 3625,62.4  1.1,,FV
Gliese 646,Gliese 646,62.4  2.4,,KV
Gliese 576,Gliese 576,62.6  2.5,,KV
Gliese 1246,Gliese 1246,62.6  1.4,,M1V
ADS 10075,ADS 10075,62.6  1.4,,KV
WISE 00490441,WISE 00490441,62.6,,L9
Rho Puppis (Tureis),Rho Puppis (Tureis),62.7  0.8,,F2mF5IIp
HD 25457,HD 25457,62.7  0.9,,FV
Gliese 292.2,Gliese 292.2,62.7  2.3,,GV
Gliese 825.3,Gliese 825.3,62.7  1.5,,KV
Gliese 3546,Gliese 3546,62.7 11.48.4,,KV
WD 0806661 (Maru),WD 0806661 (Maru) A,62.73  0.02,,DQ4.2
WD 0806661 (Maru),WD 0806661 (Maru) B,,,Y1
1 Centauri,1 Centauri,62.8  0.9,,F3IV
Gliese 1283,Gliese 1283,62.8  1.4,,M1V
HD 189733,HD 189733 A,62.8  1.1,,K1.5V
HD 189733,HD 189733 B,,,M
Beta Pictoris,Beta Pictoris,62.9  0.6,,A6V
WISE 0032-4946,WISE 0032-4946,62.9,,T8.5
HD 43587,HD 43587 A,63.0  1.0,,G0V
HD 43587,HD 43587 B,,,M0V
HD 43587,HD 43587 C,,,M3.5V
HD 43587,HD 43587 D,,,M5V
Gliese 710,Gliese 710,63.0  1.8,,K7V
WD 0806-661,WD 0806-661 A,63.0  2.0,,DQ4.2
WD 0806-661,WD 0806-661 B,,,Y
Gliese 775.1,Gliese 775.1,63.1  1.0,,GV
Gliese 1126,Gliese 1126,63.1  1.1,,M1V
Gliese 45,Gliese 45,63.1  1.3,,KV
Gliese 816.1,Gliese 816.1,63.2  0.9,,KV
Omicron Aquilae,Omicron Aquilae A,63.3  0.9,,F8V
Omicron Aquilae,Omicron Aquilae B,,,M3V
Gliese 790,Gliese 790,63.3  1.0,,GV
Gliese 9126,Gliese 9126,63.3 36.416.9,,KV
HD 274255,HD 274255,63.3 4.94.3,,MV
Alpha Chamaeleontis,Alpha Chamaeleontis,63.5  0.6,,F5V
HR 6465,HR 6465,63.5  1.1,,GV
Gliese 894.5,Gliese 894.5,63.5  1.6,,KV
Gliese 59,Gliese 59,63.6  1.1,,KV
Gliese 571.1,Gliese 571.1,63.6  2.3,,KV
WISE 08124021,WISE 08124021,63.6,,T8
HD 130004,HD 130004,63.7  1.2,,KV
c Ursae Majoris,c Ursae Majoris,63.8  0.9,,G0V
Gliese 204.1,Gliese 204.1,63.8  0.6,,GV
HIP 38594,HIP 38594,63.8  2.0,,MV
Gliese 3859,Gliese 3859,63.9  0.7,,GV
74 Orionis,74 Orionis,64.0  1.1,,FV
Gliese 3383,Gliese 3383,64.0 8.56.7,,GV
Alpha Trianguli (Mothallah),Alpha Trianguli (Mothallah) A,64.1  1.0,,F5III-F6IV
Alpha Trianguli (Mothallah),Alpha Trianguli (Mothallah) B,,,M
Eta Crucis,Eta Crucis,64.2  0.6,,F2III
Gliese 3867,Gliese 3867,64.2  1.3,,GV
HD 59747,HD 59747,64.2  1.7,,GV
Gliese 906,Gliese 906,64.2  2.1,,KV
45 Botis,45 Botis,64.3  1.0,,F5V
HD 217107,HD 217107,64.3  1.0,,G8IV
Gliese 81.2,Gliese 81.2,64.3  1.0,,KV
HD 189733 (V452 Vulpeculae),HD 189733 (V452 Vulpeculae) B,64.50  0.02,,M
HD 189733 (V452 Vulpeculae),HD 189733 (V452 Vulpeculae) A,64.42  0.02,,K1.5V
HD 220140,HD 220140,64.4  0.8,,GV
Gliese 140.1,Gliese 140.1,64.4  2.3,,M1V
Gliese 3678,Gliese 3678,64.4  1.5,,KV
EQ Virginis,EQ Virginis,64.5  1.3,,K5Ve
Gliese 3634,Gliese 3634,64.5 2.01.9,,M2.5
DENIS-P J020529.0-115925,DENIS-P J020529.0-115925,64.5 2.01.9,,L5.5
Nu Canis Majoris,Nu Canis Majoris,64.7  0.9,,K1III
Gliese 586,Gliese 586,64.8  1.5,,KV
Gliese 1164,Gliese 1164,64.8 4.43.9,,M1V
LHS 1678 (TOI-696),LHS 1678 (TOI-696),64.790.03,,M2V
22 Lyncis,22 Lyncis,64.9  1.1,,FV
HD 192263 (Phoenicia),HD 192263 (Phoenicia),64.9  1.5,,K2V
HD 35112,HD 35112,64.9  2.0,,KV
WISE 0612-3036,WISE 0612-3036,64.9,,T6
WISE 09290409,WISE 09290409,64.9,,T6.5
HR 3430,HR 3430,65.0  1.3,,GV
Gliese 530,Gliese 530,65.0  1.1,,GV
HD 216520,HD 216520,65.0  0.8,,KV
GD 356,GD 356,65,,DC7
Aldebaran (Alpha Tauri),Aldebaran (Alpha Tauri),65.1  1.3,,K5III
GJ 1233,GJ 1233,65.2  0.7,,GV
Gliese 292.1,Gliese 292.1,65.2  1.4,,KV
Gliese 268.2,Gliese 268.2,65.2  1.3,,KV
GJ 1278,GJ 1278,65.3  1.4,,KV
Gliese 328,Gliese 328,65.3  3.0,,MV
Epsilon Scorpii (Larawag),Epsilon Scorpii (Larawag),65.4  1.1,,K1III
Gliese 342,Gliese 342,65.4  1.4,,KV
Gliese 747.3,Gliese 747.3,65.4  2.0,,KV
53 Aquarii,53 Aquarii A,65.5  3.5,,G1V
