system,name,distance,coordinates,stellar_class
"Gliese 251 (Wolf 294, HD 265866)","Gliese 251 (Wolf 294, HD 265866)",18.21460.0028,179.06290.02808,M3.5V
LP 816-60,LP 816-60,18.33050.0038,177.93120.03658,M4V
LSR J18353259,LSR J18353259,18.55340.0049,175.79300.04688,M8.5V
"Gliese 205 (Wolf 1453, HD 36395)","Gliese 205 (Wolf 1453, HD 36395)",18.60420.0022,175.31310.02048,M1V
2MASS J041519540935066,2MASS J041519540935066,18.620.18,175.21.770,T8V
Gliese 229 (HD 42581),Gliese 229 (HD 42581) A,18.79060.0018,173.57400.01708,Unknown
Gliese 229 (HD 42581),Ba,,,Unknown
Gliese 229 (HD 42581),Bb,,,Unknown
Alsafi (Sigma Draconis),Alsafi (Sigma Draconis),18.79930.0081,173.49390.07488,G9V
Ross 47 (Gliese 213),Ross 47 (Gliese 213),18.88830.0031,172.67620.02868,K7V
WISE 15412250,WISE 15412250,18.930.17,172.31.662,T6V
"Gliese 570(Lalande 27173, 33 G. Librae)","Gliese 570(Lalande 27173, 33 G. Librae) A",19.19870.0074,169.88430.06538,Unknown
"Gliese 570(Lalande 27173, 33 G. Librae)","Gliese 570(Lalande 27173, 33 G. Librae) B",,,Unknown
"Gliese 570(Lalande 27173, 33 G. Librae)","Gliese 570(Lalande 27173, 33 G. Librae) C",,,Unknown
"Gliese 570(Lalande 27173, 33 G. Librae)","Gliese 570(Lalande 27173, 33 G. Librae) D",,,Unknown
Gliese 693 (Luyten 205 128),Gliese 693 (Luyten 205 128),19.20780.0053,169.80420.04658,M3V
Gliese 754 (Luyten 347 14),Gliese 754 (Luyten 347 14),19.27240.0067,169.23510.05888,M4V
"Gliese 908 (Lalande 46650, BR Piscium)","Gliese 908 (Lalande 46650, BR Piscium)",19.27450.0032,169.21630.02818,K7V
"Gliese 752 (Wolf 1055, HD 180617)","Gliese 752 (Wolf 1055, HD 180617) A",19.29220.0027,169.06150.02398,Unknown
"Gliese 752 (Wolf 1055, HD 180617)",B (VB 10),,,Unknown
Gliese 588 (CD-40 9712),Gliese 588 (CD-40 9712),19.29960.0031,168.99650.02708,M2V
Eta Cassiopeiae (Gliese 34),Achird (A),19.33140.0025,168.71860.02168,G0V
Eta Cassiopeiae (Gliese 34),Eta Cassiopeiae (Gliese 34) B,,,K7V
36 Ophiuchi (Gliese 663),Guniibuu (A),19.41850.0036,167.96170.03118,Unknown
36 Ophiuchi (Gliese 663),36 Ophiuchi (Gliese 663) B,,,K1V
36 Ophiuchi (Gliese 663),36 Ophiuchi (Gliese 663) C,,,M3.5V
"YZ Canis Minoris (Ross 882, Gliese 285)","YZ Canis Minoris (Ross 882, Gliese 285)",19.53300.0040,166.97690.03438,M5.5Ve
"GJ 1005 (Luyten 722-22, G 158-50)","GJ 1005 (Luyten 722-22, G 158-50) A",19.5770.035,166.60.372,Unknown
"GJ 1005 (Luyten 722-22, G 158-50)","GJ 1005 (Luyten 722-22, G 158-50) B",,,Unknown
"HR 7703 (279 G. Sagittarii, HD 191408, Gliese 783, IRAS 20079-3614)","HR 7703 (279 G. Sagittarii, HD 191408, Gliese 783, IRAS 20079-3614) A",19.6090.013,166.32720.10658,Unknown
"HR 7703 (279 G. Sagittarii, HD 191408, Gliese 783, IRAS 20079-3614)","HR 7703 (279 G. Sagittarii, HD 191408, Gliese 783, IRAS 20079-3614) B",,,Unknown
"82 G. Eridani (e Eridani, Gliese 139, HD 20794)","82 G. Eridani (e Eridani, Gliese 139, HD 20794)",19.70450.0093,165.52420.07848,G3V
"Gliese 268 (Ross 986, QY Aurigae)","Gliese 268 (Ross 986, QY Aurigae) A",19.74140.0076,165.21470.06368,Unknown
"Gliese 268 (Ross 986, QY Aurigae)","Gliese 268 (Ross 986, QY Aurigae) B",,,Unknown
Delta Pavonis,Delta Pavonis,19.8930.015,163.95440.12228,G8IV
SIMP J013656.5093347,SIMP J013656.5093347,19.9550.057,163.44780.46298,T2.5V
2MASS 09372931,2MASS 09372931,19.960.22,163.391.7673,T1V
Gliese 784 (HD 191849),Gliese 784 (HD 191849),20.10620.0028,20h 13m 53.4s45  09 50,M0V
WISE J22092711,WISE J22092711,20.170.25,22h 09m 05.7s27  11 44,Y0
"G 240-72 (LHS 455, GJ 1221, EGGR 372)","G 240-72 (LHS 455, GJ 1221, EGGR 372)",20.25880.0015,17h 48m 08.2s70  52 35,DXP9
