Column1,Column2,Column3,Column5,Column6
Gliese 588 (CD-40 9712),Gliese 588 (CD-40 9712),19.2996±0.0031,168.9965±0.0270[8],
Eta Cassiopeiae (Gliese 34),Achird (A)$,19.3314±0.0025,168.7186±0.0216[8],
,B,,,
36 Ophiuchi (Gliese 663),Guniibuu (A)$,19.4185±0.0036,167.9617±0.0311[8],
,B$,,,
,C$,,,
"YZ Canis Minoris (Ross 882, Gliese 285)","YZ Canis Minoris (Ross 882, Gliese 285)",19.5330±0.0040,166.9769±0.0343[8],
"GJ 1005 (Luyten 722-22, G 158-50)",A,19.577±0.035,166.6±0.3[72],
,B,,,
"HR 7703 (279 G. Sagittarii, HD 191408, Gliese 783, IRAS 20079-3614)",A$,19.609±0.013,166.3272±0.1065[8],
,B,,,
"82 G. Eridani (e Eridani, Gliese 139, HD 20794)$","82 G. Eridani (e Eridani, Gliese 139, HD 20794)$",19.7045±0.0093,165.5242±0.0784[8],
"Gliese 268 (Ross 986, QY Aurigae)",A,19.7414±0.0076,165.2147±0.0636[8],
,B,,,
Delta Pavonis$,Delta Pavonis$,19.893±0.015,163.9544±0.1222[8],
SIMP J013656.5+093347§,SIMP J013656.5+093347§,19.955±0.057,163.4478±0.4629[8],
2MASS 0937+2931§,2MASS 0937+2931§,19.96±0.22,163.39±1.76[73],
Gliese 784 (HD 191849),Gliese 784 (HD 191849),20.1062±0.0028,20h 13m 53.4s?45° 09? 50?,M0V
WISE J2209+2711§,WISE J2209+2711§,20.17±0.25,22h 09m 05.7s+27° 11? 44?,Y0
"G 240-72 (LHS 455, GJ 1221, EGGR 372)‡","G 240-72 (LHS 455, GJ 1221, EGGR 372)‡",20.2588±0.0015,17h 48m 08.2s+70° 52? 35?,DXP9
"Gliese 555 (Wolf 1481, HN Librae, BD-11 3759)","Gliese 555 (Wolf 1481, HN Librae, BD-11 3759)",20.3947±0.0070,14h 34m 16.8s?12° 31? 10?,M4.0V
"EQ Pegasi (Gliese 896, BD+19 5116)",A,20.4277±0.0044,23h 31m 52.2s+19° 56? 14?,M3.5V
,B,,,M4.5V
"Gliese 581 (Wolf 562, HO Librae)","Gliese 581 (Wolf 562, HO Librae)",20.5494±0.0039,15h 19m 26.8s?07° 43? 20?,M3.0V
WISE 1405+5534§,WISE 1405+5534§,20.62±0.34,14h 05m 18.3s+55° 34? 21?,Y0.5
"ADS 7251 (HD 79210, Gliese 338, MCC 541)",A,20.6575±0.0026,09h 14m 22.8s+52° 41? 12?,M0V
,B,,,K7V
LHS 2090 (LP 368-128),LHS 2090 (LP 368-128),20.7388±0.0071,09h 00m 23.6s+21° 50? 05?,M6.5V
"Furuhjelm 46 (HD 155876, Gliese 661)",A,20.82±0.18,17h 12m 07.9s+45° 39? 57?,M3 V
,B,,,M3.5 V
2MASS 1503+2525§,2MASS 1503+2525§,20.94±0.10,15h 03m 19.6s+25° 25? 20?,T5.5
LP 944-20§,LP 944-20§,20.9615±0.0070,03h 39m 35.2s–35° 25? 44?,M9V
LP 658-2 (EGGR 45)‡,LP 658-2 (EGGR 45)‡,21.0102±0.0024,05h 55m 09.5s?04° 10? 07?,DZ11
GL Virginis (G 12-30),GL Virginis (G 12-30),21.0832±0.0061,12h 18m 59.4s+11° 07? 34?,M5Ve
"Gliese 625 (AC 54 1646-56, G 202-48)","Gliese 625 (AC 54 1646-56, G 202-48)",21.1309±0.0022,16h 25m 24.6s+54° 18? 15?,M2.0V
V1054 Ophiuchi (HD 152751),Gliese 644 A,21.1961±0.0065,16h 55m 25.2s?08° 19? 21?,M3 V
,Gliese 644 Ba,,,M4 Ve
,Gliese 644 Bb,,,M4 Ve
,Gliese 643,,,M3.5 V
,vB 8 (Gliese 644 C),,,M7.0 V
GJ 1128 (L 100-115),GJ 1128 (L 100-115),21.2121±0.0034,09h 42m 46.3s?68° 53? 06?,M4.0V
"HD 219134 (HR 8832, Gliese 892)$","HD 219134 (HR 8832, Gliese 892)$",21.3364±0.0069,23h 13m 17.0s+57° 10? 06?,K3V
WISE 0825+2805§,WISE 0825+2805§,21.37±0.28,08h 25m 07.4s+28° 05? 49?,Y0.5
WISE 0410+1502§,WISE 0410+1502§,21.56±0.29,04h 10m 22.8s+15° 02? 47?,Y0
WISE J0521+1025§,WISE J0521+1025§,21.71±0.44,05h 21m 26.4s+10° 25? 27?,T7.5
"GJ 3737 (LHS 337, L 471-42)","GJ 3737 (LHS 337, L 471-42)",21.7324±0.0047,12h 38m 49.1s?38° 22? 53?,M4.5V:
Gliese 408 (Ross 104),Gliese 408 (Ross 104),22.0081±0.0038,11h 00m 04.3s+22° 49? 59?,M3.0V
Xi Boötis,A$,22.0109±0.0081,14h 51m 23.4s+19° 06? 02?,G8Ve
,B$,,,K4Ve
Gliese 299 (Ross 619),Gliese 299 (Ross 619),22.079±0.014,08h 11m 57.6s+08° 46? 22?,M4.5V
GJ 3522 (G 41-14),A,22.08±0.30,08h 58m 56.3s+08° 28? 26?,M3.5V
,B,,,M
,C,,,M
Gliese 829 (Ross 775),A,22.1129±0.0039,21h 29m 36.8s+17° 38? 36?,M3+M
,B,,,M
Scholz's Star,A,22.17±0.18,07h 20m 03.3s?08° 46? 50?,M9.5
,B§,,,T5.5
WISE 1928+2356§,WISE 1928+2356§,22.28±0.18,19h 28m 41.5s+23° 56? 02?,T6
WISE J0254+0223§,WISE J0254+0223§,22.32±0.23,02h 54m 09.6s+02° 23? 59?,T8
LTT 1445 (BD-17 588),A,22.3867±0.0037,03h 01m 51.4s?16° 35? 36?,M3.0
,B,,,M3.5
,C,,,M
Gliese 880 (HD 216899),Gliese 880 (HD 216899),22.3973±0.0039,22h 56m 34.8s+16° 33? 12?,M2.0V
CWISE J1055+5443§,CWISE J1055+5443§,22.5+2.6?2.0,10h 55m 12.1s+54° 43? 28?,Y0 (pec)
"Gliese 402 (EE Leonis, Wolf 358)","Gliese 402 (EE Leonis, Wolf 358)",22.7225±0.0045,10h 50m 52.0s+06° 48? 29.2?,M5.0V
Gliese 393 (BD+01 2447),Gliese 393 (BD+01 2447),22.9534±0.0034,10h 28m 55.6s+00° 50? 28?,M2.5V
Gliese 809 (HD 199305),Gliese 809 (HD 199305),22.9600±0.0026,20h 53m 19.8s+62° 09? 16?,M2.0V
LSPM J2146+3813 (UCAC4 642-113039),LSPM J2146+3813 (UCAC4 642-113039),22.9858±0.0034,21h 46m 22.1s+38° 13? 05?,M5V
"LHS 3003 (GJ 3877, LP 914-54)","LHS 3003 (GJ 3877, LP 914-54)",23.003±0.010,14h 56m 38.3s?28° 09? 47?,M7.0V
WISE 2056+1459§,WISE 2056+1459§,23.16±0.33,20h 56m 28.9s+14° 59? 54?,Y0
GJ 1068 (L 230-188),GJ 1068 (L 230-188),23.1816±0.0035,04h 10m 28.1s?53° 36? 08?,M4.5
WISE J004945.61+215120.0§,WISE J004945.61+215120.0§,23.23±0.35,00h 49m 45.6s+21° 51? 20?,T8.5
GJ 1286 (G 157-77),GJ 1286 (G 157-77),23.4074±0.0074,23h 35m 10.5s?02° 23? 21?,M5.5V
"Gliese 105 (268 G. Ceti, HD 16160)",A$,23.5599±0.0071,02h 36m 04.9s+06° 53? 13?,K3V
,B,,,M4.5V
,C,,,M6V
