Column1,Column2,Column3,Column5,Column6
LHS 1140,LHS 1140,48.80 ± 0.03,,M4.5V
HD 176051,A,48.9 ± 0.4,,G0V
,B,,,K1V
Gliese 14,Gliese 14,48.9 ± 0.8,,KV
Gliese 163,Gliese 163,48.9 +1.4?1.3,,M3.5V
WISEP J004701.06+680352.1,WISEP J004701.06+680352.1,48.9 ± 16.3,,L9pec
HD 84117,HD 84117,49.0 ± 0.2,,F8V
HD 200779 (Gliese 818),HD 200779 (Gliese 818),49.07 ± 0.02,,K6V
Eta Leporis$,Eta Leporis$,49.1 ± 0.5,,F2V
Nu Phoenicis,Nu Phoenicis,49.1 ± 0.5,,F9V
Gliese 52,Gliese 52,49.1 ± 0.9,,K7V
Gliese 483,Gliese 483,49.1 ± 0.6,,KV
Castor (Alpha Geminorum),Aa$,49.15 ± 0.03,,A1V
,Ab,,,dM1e
,Ba,,,Am
,Bb,,,dM1e
,Ca,,,dM1e
,Cb,,,dM1e
19 Draconis,19 Draconis,49.2 ± 0.4,,F8V
GJ 1279,GJ 1279,49.2 ± 0.7,,KV
Gliese 141,Gliese 141,49.3 ± 0.7,,KV
31 Aquilae,31 Aquilae,49.4 ± 0.6,,G8IV
AB Doradus,A,49.5 ± 0.4,,K0V
,Ba,,,M5
,Bb,,,M5-6
,C,,,M8
L 489-43,L 489-43,49.50 ± 0.81,,M4.5
171 G. Puppis,171 G. Puppis,49.6 ± 0.4,,G0V
Gliese 40,Gliese 40,49.6 ± 1.1,,KV
HR 5864,HR 5864,49.7 ± 0.6,,G7IV
Mu Arae,Mu Arae,49.8 ± 0.6,,G3V
Gliese 317,Gliese 317,49.9 ± 0.4,,M2.5V
SCR J1826-6542,SCR J1826-6542,49.12,,MV
Delta Aquilae,A$,50.1 ± 0.6,,F0IV
,B,,,K
51 Pegasi (Helvetios),51 Pegasi (Helvetios),50.1 ± 0.6,,G5V
HR 159,A,50.2 ± 0.8,,G8V
,B,,,G8V
WISE 0614+3912,WISE 0614+3912,50.2,,T8
WISE 1617+1807,WISE 1617+1807,50.2,,T8
WISE 1627+3255,WISE 1627+3255,50.2,,T6
Gliese 156,Gliese 156,50.3 ± 0.9,,K7V
Phi? Ceti,Phi? Ceti,50.4 ± 0.8,,F7V
Sigma Boötis (Hemelein Secunda),Sigma Boötis (Hemelein Secunda),50.4 ± 0.6,,F2V
Gliese 862,Gliese 862,50.4 ± 0.8,,KV
Gliese 227,Gliese 227,50.4 ± 0.7,,KV
99 Herculis,A,50.5 ± 0.6,,F7V
,B,,,K4V
Gliese 758/B,Gliese 758/B,50.5 ± 0.5,,G8V
WISE 0542-1628,WISE 0542-1628,50.6,,T6.5
WISE 1124-0421,WISE 1124-0421,50.6,,T7
WISE 2015+6646,WISE 2015+6646,50.6,,T8
Gliese 3685/3686,Gliese 3685/3686,50.7 +11.8?8.0,,MV
HD 38858,HD 38858,50.8 ± 0.9,,G4V
HD 135599,HD 135599,50.8 ± 0.8,,KV
Gliese 778,Gliese 778,50.8 ± 0.7,,KV
Mu Arae (Cervantes/HD 160691),Mu Arae (Cervantes/HD 160691),50.89 ± 0.07,,G3IV–V
Tau Boötis,Tau Boötis,50.9 ± 0.6,,F6IV
Gliese 1175,Gliese 1175,50.9 ± 0.6,,KV
WISE 1519+7009,WISE 1519+7009,50.9,,T8
HD 207129,HD 207129,51.0 ± 0.6,,G2V
Gliese 782,Gliese 782,51.1 ± 1.2,,KV
Gliese 397,Gliese 397,51.1 ± 1.0,,KV
HD 113538,HD 113538,51.2 ± 1.1,,K9V
WISE 0325-3854,WISE 0325-3854,51.2,,T9
WISE 2342+0856,WISE 2342+0856,51.2,,T6.5
HD 139763,HD 139763,51.3 ± 1.1,,KV
Gliese 157,Gliese 157,51.4 ± 1.7,,KV
WISE 0614+0951,WISE 0614+0951,51.5,,T7
WISE 0750+2725,WISE 0750+2725,51.5,,T8.5
WISE 0906+4735,WISE 0906+4735,51.5,,T8
WISE 1906+4508,WISE 1906+4508,51.5,,T6
Gliese 3929,Gliese 3929,51.54,,M3.5V
Chi Herculis,Chi Herculis,51.7 ± 0.4,,F8Ve
104 Tauri,104 Tauri,51.8 ± 0.8,,G4V
Gliese 777,A,51.8 ± 0.5,,G6IV
,B,,,M4.5V
Ross 640,Ross 640,51.84 ± 0.02,,DZA5.5
Gliese 619,Gliese 619,51.9 ± 0.7,,KV
Gliese 112.1,Gliese 112.1,51.9 ± 1.3,,KV
Gliese 156.2,Gliese 156.2,52.1 ± 0.7,,KV
Gliese 462,Gliese 462,52.2 ± 1.1,,KV
Gliese 3,Gliese 3,52.2 ± 0.7,,KV
WISE 1457+5815,WISE 1457+5815,52.2,,T7
WISE 2319-1844,WISE 2319-1844,52.2,,T7.5
WISE 1622-0959,WISE 1622-0959,52.2 ± 6.5,,T6
Gliese 3781,Gliese 3781,52.3 ± 1.2,,G8/K0V
Gliese 32,Gliese 32,52.3 ± 1.4,,KV
Gliese 1062,Gliese 1062,52.3 ± 2.9,,MV
HD 179930,HD 179930,52.5 ± 1.7,,MV
Gliese 1264,Gliese 1264,52.6 ± 2.1,,MV
HR 3138,HR 3138,52.8 ± 0.4,,G0V
Gliese 472,Gliese 472,52.8 ± 0.5,,KV
Gliese 824,Gliese 824,52.8 ± 0.9,,KV
I Carinae$,I Carinae$,52.9 ± 0.4,,F2IV
Gliese 152,Gliese 152,52.9 ± 0.6,,KV
Xi Pegasi,A,53.0 ± 0.7,,F6V
,B,,,M3.5
10 Ursae Majoris,10 Ursae Majoris,53.0 ± 0.9,,F4V
WISE 1042-3842,WISE 1042-3842,53.2,,T6.5
HR 6516,HR 6516,53.3 ± 0.8,,G9IV-V
9 Puppis,9 Puppis,53.4 ± 0.8,,G2V
Gliese 143,Gliese 143,53.4 ± 1.3,,KV
Gliese 1177,Gliese 1177,53.4 ± 2.7,,KV
Gliese 826.1,Gliese 826.1,53.4 ± 1.2,,KV
HD 40887,HD 40887,53.4 ± 0.9,,K3V
Alpha Circini (Xami)$,Alpha Circini (Xami)$,53.5 ± 0.5,,A7 Vp SrCrE
Gliese 247,Gliese 247,53.5 ± 1.2,,KV
BPM 37093,BPM 37093,53.5 +9.7?7.1,,DAV4.4
WISE 2237-0614,WISE 2237-0614,53.5,,T5
BY Draconis,BY Draconis,53.6 ± 0.6,,K6Ve
Gliese 531,Gliese 531,53.6 ± 0.8,,KV
Gliese 676,A,53.7 ± 1.5,,M0V
,B,,,M3V
Gliese 322,Gliese 322,53.8 ± 1.3,,KV
WISE 0241-3653,WISE 0241-3653,53.8,,T7
Psi5 Aurigae,Psi5 Aurigae,53.9 ± 0.6,,G0V
HD 53705/53706/53680,HD 53705/53706/53680,53.9 ± 0.9,,GV
Gliese 553,Gliese 553,53.9 ± 1.4,,KV
Gliese 1049,Gliese 1049,53.9 ± 1.2,,MV
HD 128311,HD 128311,54.0 ± 0.9,,K0V
HR 5273,HR 5273,54.1 ± 0.7,,GV
WISE 0656+4205,WISE 0656+4205,54.1,,T3
WISE 2348-1028,WISE 2348-1028,54.1,,T7
Gliese 3839,Gliese 3839,54.36 ± 1.92,,M4.5V
WISE 1804+3117,WISE 1804+3117,54.4 +12.2?8.4,,T9.5
WISE 0148-7202,WISE 0148-7202,54.4 +19.8?11.4,,T9.5
Gliese 633,Gliese 633,54.47 ± 0.98,,M2.5V
Beta Cassiopeiae (Caph)$,Beta Cassiopeiae (Caph)$,54.5 ± 0.5,,F2III
HR 2225,HR 2225,54.5 ± 0.7,,GV
Gliese 795,Gliese 795,54.5 ± 2.0,,KV
39 Tauri,39 Tauri,54.6 ± 0.8,,G5V
A 2329,A 2329,54.6 ± 1.1,,KV
Gliese 295,Gliese 295,54.8 ± 0.7,,G8V
Gliese 1181,Gliese 1181,54.8 ± 2.5,,KV
Gliese 786,Gliese 786,54.8 ± 0.7,,KV
WISE 0333-5856,WISE 0333-5856,54.8,,T3
WISE 2357+1227,WISE 2357+1227,54.8,,T6
HD 7924,HD 7924,54.9 ± 0.5,,K0V
HR 2721,HR 2721,55.0 ± 0.6,,G0V
Gliese 895.4,Gliese 895.4,55.0 ± 0.6,,KV
Gliese 200,Gliese 200,55.0 ± 1.6,,KV
HD 152391,HD 152391,55.2 ± 0.8,,GV
Gliese 886,Gliese 886,55.2 ± 3.4,,KV
Gliese 565,Gliese 565,55.3 ± 1,,KV
WISE 0366-0143,WISE 0366-0143,55.4,,T?
WISE 1225-1013,WISE 1225-1013,55.4,,T6
WISE 1612-3420,WISE 1612-3420,55.4,,T6.5
WISE 1852+3537,WISE 1852+3537,55.4,,T7
HD 7924,HD 7924,55.45 ± 0.02,,K0.5V
HR 2997,HR 2997,55.6 ± 0.5,,GV
Gliese 728,Gliese 728,55.7 ± 1.5,,KV
HD 76151,HD 76151,55.8 ± 0.8,,G3V
HR 7232,HR 7232,56.0 ± 0.9,,GV
HR 4864,HR 4864,56.0 ± 1,,GV
WISE 0245-3450,WISE 0245-3450,56.1,,T8
WISE 1320+6034,WISE 1320+6034,56.1,,T6.5
Iota Horologii,Iota Horologii,56.2 ± 0.5,,G0Vp
Gliese 3076,Gliese 3076,56.23 ± 6.28,,M5.93
37 Geminorum,37 Geminorum,56.3 ± 0.9,,G0V
HD 3765,HD 3765,56.3 ± 1,,KV
Gliese 3476,Gliese 3476,56.4 ± 0.6,,KV
HIP 92444,HIP 92444,56.4 ± 1.9,,KV
Gliese 3222,Gliese 3222,56.4 ± 0.7,,KV
ADS 9544,ADS 9544,56.4 ± 0.8,,KV
Gliese 727,Gliese 727,56.4 ± 1,,KV
Tau? Hydrae,Tau? Hydrae,56.5 ± 2.2,,F6V
Gliese 3833,Gliese 3833,56.5 ± 1,,KV
DENIS-P J1058.7-1548,DENIS-P J1058.7-1548,56.5 ± 1,,L3
q? Eridani,q? Eridani,56.6 ± 0.6,,F9V
HR 6748,HR 6748,56.6 ± 0.8,,GV
HD 184467,HD 184467,56.6 ± 0.6,,KV
Gliese 913,Gliese 913,56.6 ± 2.9,,MV
Xi Ophiuchi,Xi Ophiuchi,56.7 ± 0.9,,F2V
10 Canum Venaticorum,10 Canum Venaticorum,56.7 ± 0.6,,G0V
BD +68 278,BD +68 278,56.7 ± 2.8,,KV
Rho Coronae Borealis,Rho Coronae Borealis,56.8 ± 0.7,,G0V
Chi Eridani$,Chi Eridani$,57.0 ± 0.6,,G8IV
39 Serpentis,39 Serpentis,57.0 ± 0.9,,GV
Gliese 293.1,Gliese 293.1,57.0 ± 1.5,,KV
Gliese 397.1,Gliese 397.1,57.0 ± 1.4,,MV
g Lupi,g Lupi,57.1 ± 0.7,,F5V
Gliese 649.1,Gliese 649.1,57.1 ± 0.7,,KV
WISE 0247+3725,WISE 0247+3725,57.1,,T8
G 29-38 (ZZ Piscium),G 29-38 (ZZ Piscium),57.16 ± 0.03,,DAV4.4
Xi Geminorum (Alzirr)$,Xi Geminorum (Alzirr)$,57.2 ± 0.8,,F5IV
58 Ophiuchi,58 Ophiuchi,57.2 ± 0.8,,F5V
Gliese 241,Gliese 241,57.2 ± 1.4,,KV
Gliese 3633,Gliese 3633,57.2 ± 1,,KV
VVV BD001,VVV BD001,57.2 +4.3?3.8,,L5
59 Virginis,59 Virginis,57.3 ± 0.3,,G0V
HR 7783,HR 7783,57.3 ± 0.5,,GV
HR 5384,HR 5384,57.4 ± 1.1,,GV
HD 113194,HD 113194,57.4 ± 1.1,,KV
Gliese 562,Gliese 562,57.4 ± 1.3,,KV
WISE 0528-3308,WISE 0528-3308,57.4,,T7 pec
HD 1237,HD 1237,57.5 ± 0.5,,G6V
Gliese 1066,Gliese 1066,57.5 ± 0.9,,KV
15 Sagittae,A,57.6 ± 0.6,,G0V
,B,,,L4
83 Leonis,A,57.6 ± 1.5,,K0IV
,B,,,K2V
Gliese 819,Gliese 819,57.6 ± 1.2,,KV
Delta Leonis (Zosma)$,Delta Leonis (Zosma)$,57.7 ± 0.9,,A4V
Gliese 340,Gliese 340,57.7 ± 1.1,,KV
WISE 0138-0322,WISE 0138-0322,57.7,,T2
WISE 0611-0410,WISE 0611-0410,57.7,,T0
WISE 1122+2550,WISE 1122+2550,57.7,,T6
HR 7644,HR 7644,57.8 ± 0.8,,GV
Gliese 626,Gliese 626,57.8 ± 1.4,,KV
Iota Pavonis,Iota Pavonis,57.9 ± 0.7,,GV
HD 35650,HD 35650,57.9 ± 1,,KV
HD 82443,HD 82443,57.9 ± 0.9,,KV
HR 5356,HR 5356,58.0 ± 1,,FV
HR 4525,HR 4525,58.0 ± 0.8,,GV
Gliese 365,Gliese 365,58.0 ± 1.2,,KV
HR 2401,HR 2401,58.2 ± 0.6,,FV
V833 Tauri,V833 Tauri,58.2 ± 1.3,,KV
Alpha Comae Berenices (Diadem),A,58.3 ± 1.5,,F5V
,B,,,F5V
Eta Coronae Borealis,A,58.3 ± 0.8,,G1V
,B,,,G3V
,C,,,L8
Gamma Coronae Australis,A,58.4 ± 2.1,,F8V
,B,,,F8V
WISE 0206+2640,WISE 0206+2640,58.4,,L9 pec
Tau6 Eridani,Tau6 Eridani,58.5 ± 0.7,,F5V
HD 130948,HD 130948,58.5 ± 0.9,,G1V
Gliese 1079,Gliese 1079,58.5 ± 0.8,,KV
Gliese 787,Gliese 787,58.5 ± 1.4,,KV
Gliese 418,Gliese 418,58.5 ± 1.4,,KV
Iota Centauri (Alhakim/Kulou)$,Iota Centauri (Alhakim/Kulou)$,58.6 ± 0.8,,A2V
Gliese 2037,Gliese 2037,58.6 ± 1,,KV
Gliese 3317,Gliese 3317,58.7 ± 0.8,,KV
Gliese 18,Gliese 18,58.7 ± 1.2,,KV
WISE 2213+0911,WISE 2213+0911,58.7,,T7
DG Canum Venaticorum,DG Canum Venaticorum,58.76 ± 2.32,,M4Ve
HR 4989,HR 4989,58.8 ± 0.7,,FIV
212 Puppis,A,58.8 ± 0.6,,F5V
,B,,,K3V
Delta Geminorum (Wasat)$,Delta Geminorum (Wasat)$,58.8 ± 0.9,,F0IV
Gliese 1240,Gliese 1240,58.8 ± 1,,KV
Rho Geminorum,A,58.9 ± 0.3,,F1V
,B,,,M5
,C,,,K2.5V
HD 154345,HD 154345,58.9 ± 0.6,,G8V
HR 3220 (B Carinae),A,58.9 ± 0.6,,F6 V Fe-0.8 CH-0.4
,B,,,D
Gliese 830,Gliese 830,58.9 ± 1.5,,KV
HD 87883,HD 87883,58.9 ± 1,,K0V
Gliese 3293,Gliese 3293,59,,M2.5V
HD 154088,HD 154088,59.0 ± 0.9,,K0V
70 Virginis,70 Virginis,59.1 ± 0.8,,G2.5Va
HR 2208,HR 2208,59.1 ± 1,,GV
Chi Cancri,Chi Cancri,59.2 ± 1,,F6V
14 Herculis,14 Herculis,59.2 ± 0.6,,K0V
Gliese 4008,Gliese 4008,59.3 ± 0.9,,KV
Eta Corvi,Eta Corvi,59.4 ± 0.7,,F2V
Pi Mensae,Pi Mensae,59.4 ± 0.5,,G1IV
HIP 38939,HIP 38939,59.4 ± 1.3,,KV
Epsilon Reticuli,A,59.5 ± 0.5,,K2IV
,B,,,D
Beta Arietis (Sheratan)$,Beta Arietis (Sheratan)$,59.6 ± 0.8,,A5V
Psi Velorum,A,59.7 ± 1,,F3IV
,B,,,F0V
Gliese 1106,Gliese 1106,59.7 +5.1?4.4,,KV
WISE 2239+1617,WISE 2239+1617,59.7,,T3
Gliese 1120,Gliese 1120,59.8 +3.7?3.3,,KV
Gliese 3488,Gliese 3488,59.8 ± 1.4,,KV
LQ Hydrae,LQ Hydrae,59.8 ± 1.1,,KV
Gliese 131,Gliese 131,59.9 ± 1.5,,KV
HR 8314,HR 8314,60.0 ± 0.9,,GV
WISE 1436-1814,WISE 1436-1814,60.0,,T8 pec
Delta Equulei,A$,60.0 ± 1.0,,F5V
,B,,,G0
HD 53143,HD 53143,60.0 ± 0.6,,K9V
15 Leonis Minoris,15 Leonis Minoris,60.1 ± 0.8,,G0V
Gliese 339,Gliese 339,60.1 ± 1.3,,KV
Gliese 161,Gliese 161,60.2 ± 0.9,,GV
Gliese 2102,Gliese 2102,60.2 ± 1.2,,KV
Gliese 4134,Gliese 4134,60.4 +9.0?6.9,,KV
Gliese 315,Gliese 315,60.4 ± 1.2,,KV
Gliese 509,Gliese 509,60.4 ± 2.5,,KV
HD 156985,HD 156985,60.4 ± 0.8,,KV
G 185-32,G 185-32,60.4 +3.5?3.2,,DA4.0
Gliese 610,Gliese 610,60.5 ± 1.5,,KV
Gliese 106,Gliese 106,60.5 ± 2.8,,KV
HR 244,HR 244,60.6 ± 0.7,,F9V
Theta Cygni,A$,60.7 ± 0.5,,F3V
,B,,,M3V
Gliese 499,Gliese 499,60.7 ± 2.2,,KV
WISE 2301+0216,WISE 2301+0216,60.7,,T6.5
Gliese 254,Gliese 254,60.8 ± 2.0,,KV
Theta Centauri (Menkent)$,Theta Centauri (Menkent)$,60.9 ± 0.9,,K0III
Mu Virginis$,Mu Virginis$,60.9 ± 1.1,,F2IV
HD 152606,HD 152606,60.9 ± 1.0,,KV
Gliese 902.1,Gliese 902.1,60.9 ± 1.3,,KV
Kelu-1,A,60.9 ± 2.3,,L2
,B,,,L4
Gliese 1094,Gliese 1094,61.0 ± 2.3,,KV
HR 8061,HR 8061,61.1 ± 2.6,,FV
Tau Piscis Austrini$,Tau Piscis Austrini$,61.1 ± 1.0,,F6V
HR 8148,HR 8148,61.1 ± 1.3,,GV
HD 206804,HD 206804,61.1 ± 1.9,,KV
Gliese 715,Gliese 715,61.2 ± 1.2,,KV
WISE 0150+3827,WISE 0150+3827,61.3,,T0
HD 4747,HD 4747,61.4 ± 1.2,,G8V
Gliese 249,Gliese 249,61.4 ± 1.4,,KV
Gliese 296,Gliese 296,61.5 ± 9.7,,KV
HD 170573,HD 170573,61.5 ± 9.7,,KV
Gliese 1054,Gliese 1054,61.55 ± 0.85,,M1Ve
6 Ceti,6 Ceti,61.6 ± 0.9,,F8V
HR 7683,HR 7683,61.6 ± 0.6,,GIV
Gliese 583,Gliese 583,61.6 ± 1.8,,KV
Gliese 4287,Gliese 4287,61.6 ± 2.3,,KV
Gliese 773,Gliese 773,61.6 ± 1.8,,KV
WISE 2157+2659,WISE 2157+2659,61.6,,T7
Gliese 100,Gliese 100,61.7 ± 2.3,,KV
Eta Serpentis (Tang)$,Eta Serpentis (Tang)$,61.8 ± 0.9,,K0IV
Gliese 689,Gliese 689,62.0 ± 0.9,,KV
WISE 1711+3500,WISE 1711+3500,62.0 ± 9.8,,T8
HD 139477,HD 139477,62.2 ± 0.9,,KV
110 Herculis,110 Herculis,62.3 ± 0.8,,F6V
HR 2643,HR 2643,62.3 ± 1.0,,GV
WISE 1721+1117,WISE 1721+1117,62.3,,T6
HR 3625,HR 3625,62.4 ± 1.1,,FV
Gliese 646,Gliese 646,62.4 ± 2.4,,KV
Gliese 576,Gliese 576,62.6 ± 2.5,,KV
Gliese 1246,Gliese 1246,62.6 ± 1.4,,KV
ADS 10075,ADS 10075,62.6 ± 1.4,,KV
WISE 0049+0441,WISE 0049+0441,62.6,,L9
Rho Puppis (Tureis)$,Rho Puppis (Tureis)$,62.7 ± 0.8,,F2mF5IIp
HD 25457,HD 25457,62.7 ± 0.9,,FV
Gliese 292.2,Gliese 292.2,62.7 ± 2.3,,GV
Gliese 825.3,Gliese 825.3,62.7 ± 1.5,,KV
Gliese 3546,Gliese 3546,62.7 +11.4?8.4,,KV
WD 0806?661 (Maru),A,62.73 ± 0.02,,DQ4.2
,B,,,Y1
1 Centauri,1 Centauri,62.8 ± 0.9,,F3IV
Gliese 1283,Gliese 1283,62.8 ± 1.4,,KV
HD 189733,A,62.8 ± 1.1,,K1.5V
,B,,,M
Beta Pictoris$,Beta Pictoris$,62.9 ± 0.6,,A6V
WISE 0032-4946,WISE 0032-4946,62.9,,T8.5
HD 43587,A,63.0 ± 1.0,,G0V
,B,,,M0V
,C,,,M3.5V
,D,,,M5V
Gliese 710,Gliese 710,63.0 ± 1.8,,K7V
WD 0806-661,A,63.0 ± 2.0,,DQ4.2
,B,,,Y
Gliese 775.1,Gliese 775.1,63.1 ± 1.0,,GV
Gliese 1126,Gliese 1126,63.1 ± 1.1,,KV
Gliese 45,Gliese 45,63.1 ± 1.3,,KV
Gliese 816.1,Gliese 816.1,63.2 ± 0.9,,KV
Omicron Aquilae,A,63.3 ± 0.9,,F8V
,B,,,M3V
Gliese 790,Gliese 790,63.3 ± 1.0,,GV
Gliese 9126,Gliese 9126,63.3 +36.4?16.9,,KV
HD 274255,HD 274255,63.3 +4.9?4.3,,MV
Alpha Chamaeleontis$,Alpha Chamaeleontis$,63.5 ± 0.6,,F5V
HR 6465,HR 6465,63.5 ± 1.1,,GV
Gliese 894.5,Gliese 894.5,63.5 ± 1.6,,KV
Gliese 59,Gliese 59,63.6 ± 1.1,,KV
Gliese 571.1,Gliese 571.1,63.6 ± 2.3,,KV
WISE 0812+4021,WISE 0812+4021,63.6,,T8
HD 130004,HD 130004,63.7 ± 1.2,,KV
c Ursae Majoris,c Ursae Majoris,63.8 ± 0.9,,G0V
Gliese 204.1,Gliese 204.1,63.8 ± 0.6,,GV
HIP 38594,HIP 38594,63.8 ± 2.0,,MV
Gliese 3859,Gliese 3859,63.9 ± 0.7,,GV
74 Orionis,74 Orionis,64.0 ± 1.1,,FV
Gliese 3383,Gliese 3383,64.0 +8.5?6.7,,GV
Alpha Trianguli (Mothallah),A$,64.1 ± 1.0,,F5III-F6IV
,B,,,M
Eta Crucis,Eta Crucis,64.2 ± 0.6,,F2III
Gliese 3867,Gliese 3867,64.2 ± 1.3,,GV
HD 59747,HD 59747,64.2 ± 1.7,,GV
Gliese 906,Gliese 906,64.2 ± 2.1,,KV
45 Boötis,45 Boötis,64.3 ± 1.0,,F5V
HD 217107,HD 217107,64.3 ± 1.0,,G8IV
Gliese 81.2,Gliese 81.2,64.3 ± 1.0,,KV
HD 189733 (V452 Vulpeculae),B,64.50 ± 0.02,,M
,A,64.42 ± 0.02,,K1.5V
HD 220140,HD 220140,64.4 ± 0.8,,GV
Gliese 140.1,Gliese 140.1,64.4 ± 2.3,,KV
Gliese 3678,Gliese 3678,64.4 ± 1.5,,KV
EQ Virginis,EQ Virginis,64.5 ± 1.3,,K5Ve
Gliese 3634,Gliese 3634,64.5 +2.0?1.9,,M2.5
DENIS-P J020529.0-115925,DENIS-P J020529.0-115925,64.5 +2.0?1.9,,L5.5
Nu? Canis Majoris$,Nu? Canis Majoris$,64.7 ± 0.9,,K1III
Gliese 586,Gliese 586,64.8 ± 1.5,,KV
Gliese 1164,Gliese 1164,64.8 +4.4?3.9,,KV
LHS 1678 (TOI-696),LHS 1678 (TOI-696),64.79±0.03,,M2V
22 Lyncis,22 Lyncis,64.9 ± 1.1,,FV
HD 192263 (Phoenicia),HD 192263 (Phoenicia),64.9 ± 1.5,,K2V
HD 35112,HD 35112,64.9 ± 2.0,,KV
WISE 0612-3036,WISE 0612-3036,64.9,,T6
WISE 0929+0409,WISE 0929+0409,64.9,,T6.5
HR 3430,HR 3430,65.0 ± 1.3,,GV
Gliese 530,Gliese 530,65.0 ± 1.1,,GV
HD 216520,HD 216520,65.0 ± 0.8,,KV
GD 356,GD 356,65,,DC7
Aldebaran (Alpha Tauri)$,Aldebaran (Alpha Tauri)$,65.1 ± 1.3,,K5III
GJ 1233,GJ 1233,65.2 ± 0.7,,GV
Gliese 292.1,Gliese 292.1,65.2 ± 1.4,,KV
Gliese 268.2,Gliese 268.2,65.2 ± 1.3,,KV
GJ 1278,GJ 1278,65.3 ± 1.4,,KV
Gliese 328,Gliese 328,65.3 ± 3.0,,MV
Epsilon Scorpii (Larawag)$,Epsilon Scorpii (Larawag)$,65.4 ± 1.1,,K1III
Gliese 342,Gliese 342,65.4 ± 1.4,,KV
Gliese 747.3,Gliese 747.3,65.4 ± 2.0,,KV
53 Aquarii,A,65.5 ± 3.5,,G1V
,B,,,G5V
Gliese 456.1,Gliese 456.1,65.6 ± 1.3,,KV
HD 110810,HD 110810,65.6 ± 1.3,,KV
RR Caeli,A,65.65 ± 1.72,,DA7.8
,B,,,M6V
Alpha Caeli,A$,65.7 ± 0.7,,F2V
,B,,,M0.5
81 Cancri,A,65.7 ± 1.4,,G8V
,B,,,K1V
,C,,,L8
,D,,,L8
Gliese 762.2,Gliese 762.2,65.7 ± 1.3,,GV
HD 136923,HD 136923,65.7 ± 1.2,,KV
HD 149806,HD 149806,65.7 ± 1.2,,KV
Hamal (Alpha Arietis)$,Hamal (Alpha Arietis)$,65.9 ± 1.3,,K1IIIb
GJ 3620,GJ 3620,65.9 ± 1.7,,KV
Gliese 765.4,Gliese 765.4,65.9 ± 1.1,,KV
GJ 3293,GJ 3293,65.91 ± 0.03,,M2.5
DENIS-P J1228.2-1547,DENIS-P J1228.2-1547,66.0 +2.6?2.4,,L5.5
Kappa Tucanae,Kappa Tucanae,66.04 ± 1.2,,F6IV
HR 8853,HR 8853,66.1 ± 0.8,,FV
Gliese 199,Gliese 199,66.1 ± 3.0,,KV
Gamma Doradus,Gamma Doradus,66.2 ± 0.7,,F0V
Gliese 836.8,Gliese 836.8,66.2 ± 2.0,,KV
WISE 0413-4750,WISE 0413-4750,66.2,,T9
Gliese 221,A,66.3 +2.3?2.1,,K7V
,B,,,M0V
Gliese 840,Gliese 840,66.3 ± 1.3,,KV
GJ 2001,GJ 2001,66.3 ± 1.1,,KV
Tau Cygni,A,66.4 ± 0.8,,F2IV
,B,,,G0V
GJ 3863,GJ 3863,66.4 ± 0.9,,GV
Gliese 558,Gliese 558,66.4 ± 1.8,,KV
HR 6349,HR 6349,66.5 ± 1.2,,FV
9 Ceti,9 Ceti,66.5 ± 1.3,,G3V
Gliese 257.1,Gliese 257.1,66.6 ± 1.3,,KV
GJ 1069,GJ 1069,66.6 +6.7?5.6,,KV
HD 114783,HD 114783,66.6 ± 1.5,,K0V
DK Leonis,DK Leonis,66.6 ± 2.4,,KV
Sigma? Ursae Majoris,A,66.7 ± 0.9,,F7IV
,B,,,K2V
HD 30501,HD 30501,66.7 ± 0.9,,KV
GJ 9714,GJ 9714,66.7 ± 2.4,,KV
HR 8531,HR 8531,66.8 ± 0.8,,FV
HD 114613,HD 114613,66.8 ± 1.1,,G3IV
GJ 1262,GJ 1262,66.8 ± 1.1,,GV
Gliese 783.2,Gliese 783.2,66.8 ± 1.3,,KV
GJ 1172,GJ 1172,66.9 ± 2.3,,KV
GJ 3358,GJ 3358,66.9 ± 1.4,,KV
HD 155712,HD 155712,67.0 ± 1.4,,KV
HR 8843,HR 8843,67.1 ± 0.8,,FV
Gliese 217,Gliese 217,67.1 ± 1.4,,KV
Gliese 330.1,Gliese 330.1,67.2 ± 1.8,,MV
WISE 0123+4142,WISE 0123+4142,67.2,,T7
WISE 0625+5646,WISE 0625+5646,67.2,,T6
GJ 3593,GJ 3593,67.3 ± 1.2,,GV
HD 332518,HD 332518,67.3 ± 1.7,,KV
HD 24496,HD 24496,67.4 ± 1.5,,G7V
Gliese 808.2,Gliese 808.2,67.4 ± 2.6,,KV
CR Draconis,CR Draconis,67.4 ± 1.7,,MV
94 Aquarii,A,67.6 +8.3?6.6,,G8.5IV
,B,,,K2V
GJ 1108,GJ 1108,67.6 +4.7?4.2,,KV
HIP 105533,HIP 105533,67.6 ± 2.3,,MV
Gliese 53.1,Gliese 53.1,67.7 ± 1.5,,KV
GJ 1084,GJ 1084,67.7 ± 1.5,,KV
GJ 1008,GJ 1008,67.7 ± 2.5,,KV
Gliese 30,Gliese 30,67.7 ± 1.5,,KV
Gliese 544,Gliese 544,67.8 ± 1.6,,KV
GJ 1280,GJ 1280,67.9 ± 1.5,,KV
HD 104067,HD 104067,67.9 ± 1.5,,K3V
Gliese 900,A,68 ± 0.03,,K5-7
,B,,,M3-4
,C,,,M5-6
